Episode 182/10000, Avg Reward: 1368804.38, Explained Var: 0.00
Episode 183/10000, Avg Reward: 160477.98, Explained Var: 0.00
Episode 184/10000, Avg Reward: 3117816.75, Explained Var: 0.00
Episode 185/10000, Avg Reward: 341940.59, Explained Var: 0.00
Episode 186/10000, Avg Reward: 8116729.50, Explained Var: 0.00
Episode 187/10000, Avg Reward: 832436.81, Explained Var: 0.00
Episode 188/10000, Avg Reward: 764295.69, Explained Var: 0.00
Episode 189/10000, Avg Reward: 3552584.00, Explained Var: 0.00
Episode 190/10000, Avg Reward: 975323.19, Explained Var: 0.00
Episode 191/10000, Avg Reward: 1728926.12, Explained Var: 0.00
Episode 192/10000, Avg Reward: 643969.50, Explained Var: 0.00
Episode 193/10000, Avg Reward: 2590033.25, Explained Var: 0.00
Episode 194/10000, Avg Reward: 339719.72, Explained Var: 0.00
Episode 195/10000, Avg Reward: 4210762.50, Explained Var: 0.00
Episode 196/10000, Avg Reward: 4964133.50, Explained Var: 0.00
Episode 197/10000, Avg Reward: 164900.89, Explained Var: 0.00
Episode 198/10000, Avg Reward: 4953500.00, Explained Var: 0.00
Episode 199/10000, Avg Reward: 9022003.00, Explained Var: 0.00
Episode 200/10000, Avg Reward: 211204.58, Explained Var: 0.00
Episode 201/10000, Avg Reward: 873303.19, Explained Var: 0.00
Episode 202/10000, Avg Reward: 338779.25, Explained Var: 0.00
Episode 203/10000, Avg Reward: 877970.56, Explained Var: 0.00
Episode 204/10000, Avg Reward: 1807674.00, Explained Var: 0.00
Episode 205/10000, Avg Reward: 173598.58, Explained Var: 0.00
Episode 206/10000, Avg Reward: 185685.83, Explained Var: 0.00
Episode 207/10000, Avg Reward: 214210.33, Explained Var: 0.00
Episode 208/10000, Avg Reward: 424606.59, Explained Var: 0.00
Episode 209/10000, Avg Reward: 339752.03, Explained Var: 0.00
Episode 210/10000, Avg Reward: 1394045.62, Explained Var: 0.00
Episode 211/10000, Avg Reward: 1380051.38, Explained Var: 0.00
Episode 212/10000, Avg Reward: 195840.94, Explained Var: 0.00
Episode 213/10000, Avg Reward: 840288.06, Explained Var: 0.00
Episode 214/10000, Avg Reward: 840292.50, Explained Var: 0.00
Episode 215/10000, Avg Reward: 200640.83, Explained Var: 0.00
Episode 216/10000, Avg Reward: 373661.91, Explained Var: 0.00
Episode 217/10000, Avg Reward: 2106506.25, Explained Var: 0.00
Episode 218/10000, Avg Reward: 2228237.25, Explained Var: 0.00
Episode 219/10000, Avg Reward: 2444815.00, Explained Var: 0.00
Episode 220/10000, Avg Reward: 1473032.00, Explained Var: 0.00
Episode 221/10000, Avg Reward: 805733.31, Explained Var: 0.00
Episode 222/10000, Avg Reward: 1087339.88, Explained Var: 0.00
Episode 223/10000, Avg Reward: 5157551.50, Explained Var: 0.00
