Episode 140/10000, Avg Reward: 86.16, Explained Var: 0.01
Episode 141/10000, Avg Reward: 31.72, Explained Var: 0.01
Episode 142/10000, Avg Reward: 29.66, Explained Var: 0.03
Episode 143/10000, Avg Reward: 35.06, Explained Var: 0.03
Episode 144/10000, Avg Reward: 376.65, Explained Var: 0.00
Episode 145/10000, Avg Reward: 466.16, Explained Var: 0.01
Episode 146/10000, Avg Reward: 241.96, Explained Var: 0.00
Episode 147/10000, Avg Reward: 171.93, Explained Var: 0.01
Episode 148/10000, Avg Reward: 241.83, Explained Var: 0.01
Episode 149/10000, Avg Reward: 32.37, Explained Var: 0.06
Episode 150/10000, Avg Reward: 38.43, Explained Var: 0.05
Episode 151/10000, Avg Reward: 26.60, Explained Var: 0.07
Episode 152/10000, Avg Reward: 613.01, Explained Var: 0.00
Episode 153/10000, Avg Reward: 510.16, Explained Var: 0.00
Episode 154/10000, Avg Reward: 87.70, Explained Var: 0.01
Episode 155/10000, Avg Reward: 58.29, Explained Var: 0.02
Episode 156/10000, Avg Reward: 37.51, Explained Var: 0.03
Episode 157/10000, Avg Reward: 141.75, Explained Var: 0.01
Episode 158/10000, Avg Reward: 354.98, Explained Var: 0.00
Episode 159/10000, Avg Reward: 407.90, Explained Var: 0.00
Episode 160/10000, Avg Reward: 836.03, Explained Var: 0.00
Episode 161/10000, Avg Reward: 204.61, Explained Var: 0.01
Episode 162/10000, Avg Reward: 784.58, Explained Var: 0.00
Episode 163/10000, Avg Reward: 63.97, Explained Var: 0.04
Episode 164/10000, Avg Reward: 247.99, Explained Var: 0.01
Episode 165/10000, Avg Reward: 136.63, Explained Var: 0.01
Episode 166/10000, Avg Reward: 134.49, Explained Var: 0.01
Episode 167/10000, Avg Reward: 1079.88, Explained Var: 0.00
Episode 168/10000, Avg Reward: 213.54, Explained Var: 0.00
Episode 169/10000, Avg Reward: 174.05, Explained Var: 0.01
Episode 170/10000, Avg Reward: 30.46, Explained Var: 0.05
Episode 171/10000, Avg Reward: 610.62, Explained Var: 0.00
Episode 172/10000, Avg Reward: 329.01, Explained Var: 0.01
Episode 173/10000, Avg Reward: 173.66, Explained Var: 0.02
Episode 174/10000, Avg Reward: 151.16, Explained Var: 0.01
Episode 175/10000, Avg Reward: 362.07, Explained Var: 0.00
Episode 176/10000, Avg Reward: 254.94, Explained Var: 0.01
Episode 177/10000, Avg Reward: 87.70, Explained Var: 0.02
Episode 178/10000, Avg Reward: 387.53, Explained Var: 0.00
Episode 179/10000, Avg Reward: 866.67, Explained Var: 0.00
Episode 180/10000, Avg Reward: 35.10, Explained Var: 0.04
Episode 181/10000, Avg Reward: 49.89, Explained Var: 0.02
Episode 182/10000, Avg Reward: 995.06, Explained Var: 0.00
Episode 183/10000, Avg Reward: 692.21, Explained Var: 0.00
Episode 184/10000, Avg Reward: 424.68, Explained Var: 0.00
Episode 185/10000, Avg Reward: 64.74, Explained Var: 0.04
Episode 186/10000, Avg Reward: 123.01, Explained Var: 0.01
Episode 187/10000, Avg Reward: 175.31, Explained Var: 0.02
Episode 188/10000, Avg Reward: 38.72, Explained Var: 0.06
Episode 189/10000, Avg Reward: 404.82, Explained Var: 0.01
Episode 190/10000, Avg Reward: 407.41, Explained Var: 0.01
Episode 191/10000, Avg Reward: 401.80, Explained Var: 0.01
Episode 192/10000, Avg Reward: 355.70, Explained Var: 0.00
Episode 193/10000, Avg Reward: 588.21, Explained Var: 0.01
Episode 194/10000, Avg Reward: 134.35, Explained Var: 0.03
Episode 195/10000, Avg Reward: 1080.23, Explained Var: 0.00
Episode 196/10000, Avg Reward: 561.86, Explained Var: 0.00
Episode 197/10000, Avg Reward: 23.94, Explained Var: 0.06
Episode 198/10000, Avg Reward: 755.59, Explained Var: 0.01
Episode 199/10000, Avg Reward: 706.70, Explained Var: 0.00
Episode 200/10000, Avg Reward: 25.91, Explained Var: 0.11
Episode 201/10000, Avg Reward: 241.03, Explained Var: 0.01
Episode 202/10000, Avg Reward: 26.36, Explained Var: 0.05
Episode 203/10000, Avg Reward: 23.05, Explained Var: 0.13
Episode 204/10000, Avg Reward: 315.07, Explained Var: 0.01
Episode 205/10000, Avg Reward: 430.64, Explained Var: 0.01
Episode 206/10000, Avg Reward: 19.29, Explained Var: 0.12
Episode 207/10000, Avg Reward: 30.04, Explained Var: 0.13
Episode 208/10000, Avg Reward: 256.00, Explained Var: 0.01
Episode 209/10000, Avg Reward: 695.04, Explained Var: 0.00
Episode 210/10000, Avg Reward: 24.52, Explained Var: 0.14
Episode 211/10000, Avg Reward: 76.66, Explained Var: 0.04
Episode 212/10000, Avg Reward: 37.95, Explained Var: 0.04
Episode 213/10000, Avg Reward: 750.83, Explained Var: 0.01
Episode 214/10000, Avg Reward: 51.90, Explained Var: 0.02
Episode 215/10000, Avg Reward: 408.39, Explained Var: 0.01
Episode 216/10000, Avg Reward: 326.20, Explained Var: 0.01
Episode 217/10000, Avg Reward: 751.00, Explained Var: 0.00
Episode 218/10000, Avg Reward: 421.45, Explained Var: 0.01
Episode 219/10000, Avg Reward: 72.69, Explained Var: 0.03
Episode 220/10000, Avg Reward: 600.37, Explained Var: 0.01
Episode 221/10000, Avg Reward: 756.77, Explained Var: 0.01
Episode 222/10000, Avg Reward: 28.68, Explained Var: 0.14
Episode 223/10000, Avg Reward: 23.99, Explained Var: 0.18
Episode 224/10000, Avg Reward: 212.81, Explained Var: 0.02
Episode 225/10000, Avg Reward: 254.96, Explained Var: 0.02
Episode 226/10000, Avg Reward: 326.95, Explained Var: 0.02
Episode 227/10000, Avg Reward: 130.51, Explained Var: 0.02
Episode 228/10000, Avg Reward: 43.63, Explained Var: 0.11
Episode 229/10000, Avg Reward: 219.01, Explained Var: 0.02
Episode 230/10000, Avg Reward: 170.32, Explained Var: 0.02
Episode 231/10000, Avg Reward: 358.97, Explained Var: 0.01
Episode 232/10000, Avg Reward: 30.87, Explained Var: 0.15
Episode 233/10000, Avg Reward: 657.06, Explained Var: 0.01
Episode 234/10000, Avg Reward: 44.32, Explained Var: 0.10
Episode 235/10000, Avg Reward: 43.00, Explained Var: 0.11
Episode 236/10000, Avg Reward: 753.33, Explained Var: 0.01
Episode 237/10000, Avg Reward: 27.93, Explained Var: 0.15
Episode 238/10000, Avg Reward: 354.37, Explained Var: 0.01
Episode 239/10000, Avg Reward: 357.68, Explained Var: 0.01
Episode 240/10000, Avg Reward: 26.98, Explained Var: 0.15
Episode 241/10000, Avg Reward: 1031.41, Explained Var: 0.01
Episode 242/10000, Avg Reward: 264.66, Explained Var: 0.02
Episode 243/10000, Avg Reward: 755.59, Explained Var: 0.01
Episode 244/10000, Avg Reward: 427.61, Explained Var: 0.02
Episode 245/10000, Avg Reward: 80.76, Explained Var: 0.05
Episode 246/10000, Avg Reward: 410.50, Explained Var: 0.02
Episode 247/10000, Avg Reward: 697.56, Explained Var: 0.01
Episode 248/10000, Avg Reward: 508.82, Explained Var: 0.01
