Episode 260/10000, Avg Reward: 394.81, Explained Var: 0.01
Episode 261/10000, Avg Reward: 438.03, Explained Var: 0.01
Episode 262/10000, Avg Reward: 361.97, Explained Var: 0.01
Episode 263/10000, Avg Reward: 65.12, Explained Var: 0.06
Episode 264/10000, Avg Reward: 634.87, Explained Var: 0.01
Episode 265/10000, Avg Reward: 133.20, Explained Var: 0.03
Episode 266/10000, Avg Reward: 198.57, Explained Var: 0.04
Episode 267/10000, Avg Reward: 266.53, Explained Var: 0.01
Episode 268/10000, Avg Reward: 222.81, Explained Var: 0.02
Episode 269/10000, Avg Reward: 427.91, Explained Var: 0.01
Episode 270/10000, Avg Reward: 819.05, Explained Var: 0.01
Episode 271/10000, Avg Reward: 765.25, Explained Var: 0.01
Episode 272/10000, Avg Reward: 863.35, Explained Var: 0.01
Episode 273/10000, Avg Reward: 587.64, Explained Var: 0.01
Episode 274/10000, Avg Reward: 356.46, Explained Var: 0.01
Episode 275/10000, Avg Reward: 135.92, Explained Var: 0.03
Episode 276/10000, Avg Reward: 179.78, Explained Var: 0.02
Episode 277/10000, Avg Reward: 344.13, Explained Var: 0.02
Episode 278/10000, Avg Reward: 719.02, Explained Var: 0.01
Episode 279/10000, Avg Reward: 1190.18, Explained Var: 0.01
Episode 280/10000, Avg Reward: 139.42, Explained Var: 0.05
Episode 281/10000, Avg Reward: 507.07, Explained Var: 0.01
Episode 282/10000, Avg Reward: 794.15, Explained Var: 0.01
Episode 283/10000, Avg Reward: 787.81, Explained Var: 0.01
Episode 284/10000, Avg Reward: 275.25, Explained Var: 0.02
Episode 285/10000, Avg Reward: 450.09, Explained Var: 0.01
Episode 286/10000, Avg Reward: 96.08, Explained Var: 0.06
Episode 287/10000, Avg Reward: 173.77, Explained Var: 0.04
Episode 288/10000, Avg Reward: 252.61, Explained Var: 0.03
Episode 289/10000, Avg Reward: 496.49, Explained Var: 0.01
Episode 290/10000, Avg Reward: 98.06, Explained Var: 0.06
Episode 291/10000, Avg Reward: 174.71, Explained Var: 0.04
Episode 292/10000, Avg Reward: 433.08, Explained Var: 0.02
Episode 293/10000, Avg Reward: 506.04, Explained Var: 0.01
Episode 294/10000, Avg Reward: 180.82, Explained Var: 0.02
Episode 295/10000, Avg Reward: 746.43, Explained Var: 0.01
Episode 296/10000, Avg Reward: 260.68, Explained Var: 0.03
Episode 297/10000, Avg Reward: 427.32, Explained Var: 0.02
Episode 298/10000, Avg Reward: 434.99, Explained Var: 0.01
Episode 299/10000, Avg Reward: 410.51, Explained Var: 0.02
Episode 300/10000, Avg Reward: 1498.90, Explained Var: 0.01
Episode 301/10000, Avg Reward: 780.92, Explained Var: 0.01
