Episode 174/10000, Avg Reward: 30.22, Explained Var: 0.03
Episode 175/10000, Avg Reward: 219.06, Explained Var: 0.02
Episode 176/10000, Avg Reward: 19.16, Explained Var: 0.09
Episode 177/10000, Avg Reward: 151.98, Explained Var: 0.02
Episode 178/10000, Avg Reward: 263.14, Explained Var: 0.01
Episode 179/10000, Avg Reward: 19.03, Explained Var: 0.12
Episode 180/10000, Avg Reward: 37.94, Explained Var: 0.11
Episode 181/10000, Avg Reward: 46.12, Explained Var: 0.06
Episode 182/10000, Avg Reward: 141.94, Explained Var: 0.02
Episode 183/10000, Avg Reward: 679.18, Explained Var: 0.01
Episode 184/10000, Avg Reward: 803.18, Explained Var: 0.01
Episode 185/10000, Avg Reward: 320.74, Explained Var: 0.01
Episode 186/10000, Avg Reward: 267.76, Explained Var: 0.02
Episode 187/10000, Avg Reward: 286.61, Explained Var: 0.01
Episode 188/10000, Avg Reward: 556.36, Explained Var: 0.01
Episode 189/10000, Avg Reward: 430.88, Explained Var: 0.01
Episode 190/10000, Avg Reward: 121.47, Explained Var: 0.03
Episode 191/10000, Avg Reward: 745.81, Explained Var: 0.01
Episode 192/10000, Avg Reward: 205.37, Explained Var: 0.02
Episode 193/10000, Avg Reward: 506.64, Explained Var: 0.01
Episode 194/10000, Avg Reward: 326.00, Explained Var: 0.01
Episode 195/10000, Avg Reward: 30.69, Explained Var: 0.02
Episode 196/10000, Avg Reward: 245.07, Explained Var: 0.01
Episode 197/10000, Avg Reward: 722.90, Explained Var: 0.01
Episode 198/10000, Avg Reward: 35.08, Explained Var: 0.09
Episode 199/10000, Avg Reward: 804.19, Explained Var: 0.01
Episode 200/10000, Avg Reward: 120.83, Explained Var: 0.03
Episode 201/10000, Avg Reward: 603.91, Explained Var: 0.01
Episode 202/10000, Avg Reward: 459.01, Explained Var: 0.01
Episode 203/10000, Avg Reward: 395.18, Explained Var: 0.01
Episode 204/10000, Avg Reward: 880.05, Explained Var: 0.01
Episode 205/10000, Avg Reward: 547.64, Explained Var: 0.01
Episode 206/10000, Avg Reward: 1199.55, Explained Var: 0.00
Episode 207/10000, Avg Reward: 484.10, Explained Var: 0.01
Episode 208/10000, Avg Reward: 94.31, Explained Var: 0.04
Episode 209/10000, Avg Reward: 643.97, Explained Var: 0.01
Episode 210/10000, Avg Reward: 29.03, Explained Var: 0.07
Episode 211/10000, Avg Reward: 30.30, Explained Var: 0.08
Episode 212/10000, Avg Reward: 103.67, Explained Var: 0.03
Episode 213/10000, Avg Reward: 396.76, Explained Var: 0.01
Episode 214/10000, Avg Reward: 377.67, Explained Var: 0.02
Episode 215/10000, Avg Reward: 71.11, Explained Var: 0.05
Episode 216/10000, Avg Reward: 65.45, Explained Var: 0.06
Episode 217/10000, Avg Reward: 454.98, Explained Var: 0.01
Episode 218/10000, Avg Reward: 57.76, Explained Var: 0.11
Episode 219/10000, Avg Reward: 25.54, Explained Var: 0.14
Episode 220/10000, Avg Reward: 841.83, Explained Var: 0.01
Episode 221/10000, Avg Reward: -1.54, Explained Var: -19.64
Episode 222/10000, Avg Reward: 422.67, Explained Var: 0.01
Episode 223/10000, Avg Reward: 38.44, Explained Var: 0.13
Episode 224/10000, Avg Reward: 416.64, Explained Var: 0.01
Episode 225/10000, Avg Reward: 26.35, Explained Var: 0.19
Episode 226/10000, Avg Reward: 140.27, Explained Var: 0.02
Episode 227/10000, Avg Reward: 30.74, Explained Var: 0.12
Episode 228/10000, Avg Reward: 286.34, Explained Var: 0.01
Episode 229/10000, Avg Reward: 475.74, Explained Var: 0.01
Episode 230/10000, Avg Reward: 294.52, Explained Var: 0.02
Episode 231/10000, Avg Reward: 41.15, Explained Var: 0.18
Episode 232/10000, Avg Reward: 44.96, Explained Var: 0.08
