sld,occurrence_count,words,word_count,length,vowels,consonants,vowel_percentage
dcentertainmentabq,19059,['entertainment'],1,18,6,12,33.33
southwindplantation,19059,"['south', 'wind', 'plantation']",3,19,7,12,36.84
brodiecompanies,19059,"['bro', 'die', 'companies']",3,15,7,8,46.67
topusefulinfo,19056,"['top', 'useful', 'info']",3,13,6,7,46.15
nightbreezeentertainment,19046,"['night', 'breeze', 'entertainment']",3,24,9,15,37.5
marseillanimmobilier,19029,"['mars', 'ill', 'anim', 'mobil']",4,20,9,11,45.0
healthhomedevice,19026,"['health', 'home', 'device']",3,16,7,9,43.75
vegaslocalbars,18996,"['vegas', 'local', 'bars']",3,14,5,9,35.71
piquantslutsfinder,18990,"['piquant', 'sluts', 'finder']",3,18,6,12,33.33
piquantchicksfinder,18990,"['piquant', 'chicks', 'finder']",3,19,6,13,31.58
yummyflingsfinder,18990,"['yummy', 'flings', 'finder']",3,17,4,13,23.53
yummyloversfinder,18990,"['yummy', 'lovers', 'finder']",3,17,5,12,29.41
piquantplaymatesfinder,18990,"['piquant', 'playmates', 'finder']",3,22,8,14,36.36
china-marble-granite,18980,"['china', 'marble', 'granite']",3,20,7,13,35.0
uni-duesseldorf,18971,"['uni', 'due', 'sseldorf']",3,15,6,9,40.0
sweetwaterhsa,18965,['sweetwater'],1,13,5,8,38.46
costumers-kings,18955,"['costume', 'kings']",2,15,4,11,26.67
rolexwatchshoesshop,18888,"['rolex', 'watch', 'shoes', 'shop']",4,19,6,13,31.58
reliancebanking,18884,"['reliance', 'banking']",2,15,6,9,40.0
jensentennisacademy,18864,"['jensen', 'tennis', 'academy']",3,19,7,12,36.84
vizitinekortele,18855,"['viz', 'tele']",2,15,7,8,46.67
smcofficesuites,18854,"['smc', 'office', 'suites']",3,15,6,9,40.0
newjerseykennelsforsale,18851,"['new', 'jersey', 'kennels', 'for', 'sale']",5,23,8,15,34.78
prodeconstructie,18843,"['pro', 'deconstruct']",2,16,6,10,37.5
shuimusheying,18825,"['shui', 'mush', 'eying']",3,13,5,8,38.46
katesdoghouse,18804,"['kate', 'doghouse']",2,13,6,7,46.15
sunsationaltans,18804,"['suns', 'ional', 'tans']",3,15,6,9,40.0
parishotelinn,18802,"['paris', 'hotel', 'inn']",3,13,5,8,38.46
musiclivehouse,18792,"['music', 'live', 'house']",3,14,7,7,50.0
massachusetts-top-hotels,18780,"['massachusetts', 'top', 'hotels']",3,24,7,17,29.17
dezhouhongyue,18769,"['zhou', 'hong', 'yue']",3,13,6,7,46.15
totalticketing,18759,"['total', 'ticketing']",2,14,5,9,35.71
reonbroadband,18756,['broadband'],1,13,5,8,38.46
piggybackblogs,18750,"['piggyback', 'blogs']",2,14,3,11,21.43
sakaryakombiservisi,18728,"['sak', 'arya', 'kom', 'rvis']",4,19,8,11,42.11
webpagefxstage,18727,"['webpage', 'stage']",2,14,5,9,35.71
flywheelsites,18723,"['flywheel', 'sites']",2,13,4,9,30.77
eatwisconsincheese,18702,"['eat', 'wisconsin', 'cheese']",3,18,8,10,44.44
hn-adventures,18696,['adventures'],1,13,4,9,30.77
virginiabesthotels,18696,"['virginia', 'best', 'hotels']",3,18,7,11,38.89
kaiyuezhidai2008,18644,"['kai', 'yuezhi', 'dai', '2008']",4,16,7,9,43.75
kenefickranch,18624,"['ken', 'ick', 'ranch']",3,13,4,9,30.77
liveauctiongroup,18614,"['live', 'auction', 'group']",3,16,8,8,50.0
betaimprimerie,18611,"['beta', 'prime', 'rie']",3,14,7,7,50.0
hairsalonsdir,18607,"['hair', 'salons', 'dir']",3,13,5,8,38.46
intertrade-msk,18591,"['inter', 'trade']",2,14,4,10,28.57
getyourrayban,18576,"['get', 'your', 'ray', 'ban']",4,13,5,8,38.46
mallorca-vive,18564,"['mallorca', 'vive']",2,13,5,8,38.46
travel-warnings,18561,"['travel', 'warnings']",2,15,4,11,26.67
pdiskshortner,18560,"['disk', 'short', 'ner']",3,13,3,10,23.08
serverspeople,18558,"['servers', 'people']",2,13,5,8,38.46
herrmann-von-der-alb,18540,"['herrmann', 'von', 'der', 'alb']",4,20,5,15,25.0
apolloroofingfortworth,18540,"['apollo', 'roofing', 'fort', 'worth']",4,22,8,14,36.36
jiangxiancheng,18527,"['jiangxi', 'cheng']",2,14,5,9,35.71
idealnastrona,18501,"['ideal', 'astron']",2,13,6,7,46.15
homereviewonline,18501,"['home', 'review', 'online']",3,16,8,8,50.0
avtoproblem-net,18495,"['problem', 'net']",2,15,5,10,33.33
homeawayfromhome,18493,"['home', 'away', 'from', 'home']",4,16,7,9,43.75
sunrisetravels,18484,"['sunrise', 'travels']",2,14,5,9,35.71
stage-ngrok-free,18465,"['stage', 'rok', 'free']",3,16,5,11,31.25
judoo-raymond,18450,"['judo', 'raymond']",2,13,5,8,38.46
kvartersmenyn,18449,"['art', 'ers', 'men']",3,13,3,10,23.08
zhongyuanylchang,18444,"['zhong', 'yuan', 'chang']",3,16,4,12,25.0
hotel-in-valencia,18384,"['hotel', 'valencia']",2,17,7,10,41.18
simpleconnector,18372,"['simple', 'connector']",2,15,5,10,33.33
tvknaszapraca,18366,"['zap', 'rac']",2,13,4,9,30.77
agencyanalytics,18361,"['agency', 'analytics']",2,15,5,10,33.33
vermeermidsouth,18350,"['vermeer', 'mid', 'south']",3,15,6,9,40.0
trusted-extensions,18336,"['trusted', 'extensions']",2,18,6,12,33.33
livesexchatclub,18333,"['live', 'sex', 'chat', 'club']",4,15,5,10,33.33
globalrustrade,18324,"['global', 'rus', 'trade']",3,14,5,9,35.71
thetemplatedemo,18321,"['the', 'template', 'demo']",3,15,6,9,40.0
rejestracjadomen,18312,"['jest', 'rac', 'men']",3,16,6,10,37.5
monentreprise,18306,"['mon', 'entrep', 'rise']",3,13,5,8,38.46
harpmortgagelender,18300,"['harp', 'mortgage', 'lender']",3,18,6,12,33.33
reversemortgageamerica,18288,"['reverse', 'mortgage', 'america']",3,22,10,12,45.45
vaguaranteedhomeloans,18288,"['guaranteed', 'home', 'loans']",3,21,10,11,47.62
foreverliving,18280,"['forever', 'living']",2,13,5,8,38.46
conceptshopping,18270,"['concept', 'shopping']",2,15,4,11,26.67
earthlovesall,18264,"['earth', 'loves', 'all']",3,13,5,8,38.46
capturebroadband,18230,"['capture', 'broadband']",2,16,6,10,37.5
dcphilippines,18228,['philippines'],1,13,4,9,30.77
book-onlinenow,18218,"['book', 'online', 'now']",3,14,6,8,42.86
fangtewangguo,18216,"['fang', 'wang', 'guo']",3,13,5,8,38.46
online-staging,18207,"['online', 'staging']",2,14,5,9,35.71
china-direct-buy,18186,"['china', 'direct', 'buy']",3,16,5,11,31.25
crypto-extranet,18185,"['crypto', 'extra', 'net']",3,15,4,11,26.67
mycloudwebsites,18176,"['cloud', 'websites']",2,15,5,10,33.33
hochiminh-top-hotels,18165,"['hoch', 'minh', 'top', 'hotels']",4,20,6,14,30.0
autoteam-plus,18150,"['auto', 'team', 'plus']",3,13,6,7,46.15
thesoccershirts,18149,"['the', 'soccer', 'shirts']",3,15,4,11,26.67
columbusstate,18146,"['columbus', 'state']",2,13,5,8,38.46
traversprinting,18142,"['travers', 'printing']",2,15,4,11,26.67
tokyo-hotels-stay,18135,"['tokyo', 'hotels', 'stay']",3,17,5,12,29.41
fh-reutlingen,18117,['reutlingen'],1,13,4,9,30.77
sisterseductionstories,18099,"['sister', 'seduction', 'stories']",3,22,9,13,40.91
simplyhosting,18096,"['simply', 'hosting']",2,13,3,10,23.08
oldcorralclub,18078,"['old', 'corral', 'club']",3,13,4,9,30.77
legalshieldassociate,18072,"['legal', 'shield', 'associate']",3,20,9,11,45.0
gettopacoustic,18066,"['get', 'top', 'acoustic']",3,14,6,8,42.86
cybernetprovedor,18056,"['cybernet', 'proved']",2,16,5,11,31.25
gorod-sveta-rf,18033,"['rod', 'vet']",2,14,4,10,28.57
mesventespriveesdujour,18024,"['mes', 'vent', 'esp', 'rive', 'jour']",5,22,9,13,40.91
washington-state,18017,"['washington', 'state']",2,16,5,11,31.25
merchandisescheme,18008,"['merchandise', 'scheme']",2,17,6,11,35.29
bestcpmnetwork,18000,"['best', 'network']",2,14,3,11,21.43
rometravelhotel,18000,"['rome', 'travel', 'hotel']",3,15,6,9,40.0
polytechnique,17995,['polytechnique'],1,13,5,8,38.46
gitbook-staging,17991,"['book', 'staging']",2,15,5,10,33.33
timing-spacing,17974,"['timing', 'spacing']",2,14,4,10,28.57
onlinegownshop,17969,"['online', 'gown', 'shop']",3,14,5,9,35.71
walletgallery,17964,"['wallet', 'gallery']",2,13,4,9,30.77
shandongletong,17963,"['shandong', 'tong']",2,14,4,10,28.57
dealerconnection,17936,"['dealer', 'connection']",2,16,7,9,43.75
hotelsofnewyorkcity,17904,"['hotels', 'new', 'york', 'city']",4,19,6,13,31.58
craftingstore,17898,"['crafting', 'store']",2,13,4,9,30.77
associationcareernetwork,17895,"['association', 'career', 'network']",3,24,11,13,45.83
fantasyhostbd,17892,"['fantasy', 'host']",2,13,3,10,23.08
bespokefittedkitchens,17892,"['bespoke', 'fitted', 'kitchens']",3,21,7,14,33.33
websitebiography,17883,"['website', 'biography']",2,16,6,10,37.5
drupalgardens,17874,"['rupal', 'gardens']",2,13,4,9,30.77
toastmastersclubs,17871,"['toastmasters', 'clubs']",2,17,5,12,29.41
egnyte-appliance,17859,"['gny', 'appliance']",2,16,6,10,37.5
churchofchrist,17852,"['church', 'christ']",2,14,3,11,21.43
nelson-medical,17832,"['nelson', 'medical']",2,14,5,9,35.71
nameanameanamea,17831,"['name', 'name', 'name']",3,15,9,6,60.0
albertpaschen,17793,"['albert', 'pas', 'chen']",3,13,4,9,30.77
bluemilenetworks,17790,"['blue', 'mile', 'networks']",3,16,6,10,37.5
postalrecruitment,17772,"['postal', 'recruitment']",2,17,6,11,35.29
livesex-secrets,17766,"['live', 'sex', 'secrets']",3,15,5,10,33.33
fittechsummit,17751,"['fit', 'tech', 'summit']",3,13,4,9,30.77
dallastexashotels,17748,"['dallas', 'texas', 'hotels']",3,17,6,11,35.29
networkmanager,17743,"['network', 'manager']",2,14,5,9,35.71
arubabusiness,17731,"['aruba', 'business']",2,13,6,7,46.15
activenetwork,17726,"['active', 'network']",2,13,5,8,38.46
shitangwangui,17717,"['shit', 'gwan', 'gui']",3,13,5,8,38.46
hotels-in-hochiminh,17696,"['hotels', 'hoch', 'minh']",3,19,6,13,31.58
diamondtradingpost,17690,"['diamond', 'trading', 'post']",3,18,6,12,33.33
createprosite,17688,"['create', 'pro', 'site']",3,13,6,7,46.15
southinstrument,17674,"['south', 'instrument']",2,15,5,10,33.33
chirurgiens-dentistes,17674,"['chi', 'rur', 'gie', 'dentist']",4,21,7,14,33.33
thesupersuper,17655,"['the', 'super', 'super']",3,13,5,8,38.46
siteunblocked,17630,"['site', 'unblocked']",2,13,5,8,38.46
roscoe-jessica,17626,"['roscoe', 'jessica']",2,14,6,8,42.86
superdnsserver,17621,"['super', 'dns', 'server']",3,14,4,10,28.57
digital-studio,17613,"['digital', 'studio']",2,14,6,8,42.86
securewifilogin,17601,"['secure', 'login']",2,15,7,8,46.67
interviewerassistant,17595,"['interviewer', 'assistant']",2,20,8,12,40.0
mystockkeeper,17556,"['stock', 'keeper']",2,13,4,9,30.77
escalahastalacima,17544,"['scala', 'has', 'tal', 'cim']",4,17,8,9,47.06
dmitryraevsky,17534,"['dmitry', 'rae', 'sky']",3,13,3,10,23.08
bigscoots-wpo,17527,"['big', 'scoots']",2,13,4,9,30.77
telindustelecom,17469,"['tel', 'indus', 'telecom']",3,15,6,9,40.0
solutionlivret,17460,"['solution', 'liv', 'ret']",3,14,6,8,42.86
hs-furtwangen,17424,"['furtw', 'gen']",2,13,3,10,23.08
usedvermeertexas,17421,"['used', 'vermeer', 'texas']",3,16,7,9,43.75
onlinefoodgrocery,17409,"['online', 'food', 'grocery']",3,17,7,10,41.18
anyofficesupplies,17395,"['any', 'office', 'supplies']",3,17,7,10,41.18
laurenfrostfit,17371,"['lauren', 'frost', 'fit']",3,14,5,9,35.71
lifttruckmass,17355,"['lift', 'truck', 'mass']",3,13,3,10,23.08
xxxanimations,17352,"['xxx', 'animations']",2,13,5,8,38.46
commonwealthu,17342,['commonwealth'],1,13,5,8,38.46
hotels-canary-islands,17340,"['hotels', 'canary', 'islands']",3,21,6,15,28.57
livegirl-secrets,17340,"['live', 'girl', 'secrets']",3,16,5,11,31.25
videogamedownload,17316,"['videogame', 'download']",2,17,8,9,47.06
hotelsparis24,17307,"['hotels', 'paris']",2,13,4,9,30.77
freeonlinegames,17303,"['free', 'online', 'games']",3,15,7,8,46.67
airinformatics,17300,"['air', 'informatics']",2,14,6,8,42.86
autosearchtech,17298,"['auto', 'search', 'tech']",3,14,6,8,42.86
schoolzineplus,17298,"['school', 'zine', 'plus']",3,14,5,9,35.71
lianhuaxintian,17294,"['lian', 'hua', 'tian']",3,14,7,7,50.0
portraitstorefront,17280,"['portrait', 'storefront']",2,18,6,12,33.33
interdominios,17264,"['inter', 'domini']",2,13,6,7,46.15
leaguelobster,17262,"['league', 'lobster']",2,13,6,7,46.15
dimensionedellavoro,17256,"['dimension', 'edel', 'lav', 'oro']",4,19,9,10,47.37
vermeerrockymountain,17241,"['vermeer', 'rocky', 'mountain']",3,20,8,12,40.0
chiangmai-hotels4u,17238,"['chiang', 'mai', 'hotels']",3,18,7,11,38.89
sigmaingenieria,17215,"['sigma', 'genie', 'ria']",3,15,8,7,53.33
dellcroslamda,17183,"['dell', 'cro', 'lamda']",3,13,4,9,30.77
vikinghostcdn,17181,"['viking', 'host']",2,13,3,10,23.08
websiteregain,17178,"['website', 'regain']",2,13,6,7,46.15
stoplinereport,17163,"['stop', 'line', 'report']",3,14,5,9,35.71
bsl-pvc-panel,17162,"['bsl', 'pvc', 'panel']",3,13,2,11,15.38
massageplanet,17150,"['massage', 'planet']",2,13,5,8,38.46
nimblethimble,17148,"['nimble', 'thimble']",2,13,4,9,30.77
piedmontforklifthandling,17106,"['piedmont', 'forklift', 'handling']",3,24,7,17,29.17
questdiagonistics,17100,"['quest', 'dia', 'gon', 'tics']",4,17,7,10,41.18
santiago-hotels-chile,17073,"['santiago', 'hotels', 'chile']",3,21,8,13,38.1
bengkelhpaceh,17040,"['kel', 'aceh']",2,13,4,9,30.77
quel-couvreur,17035,"['que', 'couvre']",2,13,6,7,46.15
swissbackbone,17015,"['swiss', 'backbone']",2,13,4,9,30.77
titovasvetlana,17010,"['titov', 'svetlana']",2,14,6,8,42.86
hotelsintamilnadu,17004,"['hotels', 'tamilnadu']",2,17,7,10,41.18
wolves-on-hunting,17001,"['wolves', 'hunting']",2,17,5,12,29.41
new-york-city-hotel,16945,"['new', 'york', 'city', 'hotel']",4,19,5,14,26.32
pengjinwenhua,16933,"['peng', 'wen', 'hua']",3,13,5,8,38.46
secure-platform,16932,"['secure', 'platform']",2,15,5,10,33.33
pistenbullyrussia,16928,"['ten', 'bully', 'russia']",3,17,6,11,35.29
exergenglobal,16912,"['exe', 'rgen', 'global']",3,13,5,8,38.46
talkingtotoddlers,16910,"['talking', 'toddlers']",2,17,5,12,29.41
trackingoffer,16896,"['tracking', 'offer']",2,13,4,9,30.77
odumgu-ilothy,16893,"['odu', 'ilo', 'thy']",3,13,5,8,38.46
aerobickleding,16890,"['aerobic', 'kle', 'ding']",3,14,6,8,42.86
andreasgorski,16884,"['andreas', 'gor', 'ski']",3,13,5,8,38.46
alicefuldauer,16872,"['alice', 'fulda']",2,13,7,6,53.85
nickelpayments,16869,"['nickel', 'payments']",2,14,4,10,28.57
powerplustool,16867,"['power', 'plus', 'tool']",3,13,5,8,38.46
deltatelesystems,16863,"['delta', 'tele', 'systems']",3,16,5,11,31.25
iotinactionevents,16860,"['action', 'events']",2,17,8,9,47.06
phoenixasianescorts,16851,"['phoenix', 'asian', 'escorts']",3,19,8,11,42.11
crazyaussiesalervrs,16845,"['crazy', 'aussie', 'sale', 'vrs']",4,19,7,12,36.84
rrtestlandingpage,16845,"['test', 'landing', 'page']",3,17,5,12,29.41
wordjackorange,16840,"['word', 'jack', 'orange']",3,14,5,9,35.71
stadtausstellung,16833,"['stadt', 'uss', 'tel', 'lung']",4,16,5,11,31.25
hosts-fiberone,16833,"['hosts', 'fiber', 'one']",3,14,5,9,35.71
chinasonangol,16816,"['china', 'son', 'gol']",3,13,5,8,38.46
themodernfirm,16804,"['the', 'modern', 'firm']",3,13,4,9,30.77
zalive-akvilon,16800,"['live', 'vil']",2,14,6,8,42.86
secure-decoration,16788,"['secure', 'decoration']",2,17,8,9,47.06
inspirational-world,16780,"['inspirational', 'world']",2,19,7,12,36.84
fumushijian2018,16767,"['shiji', '2018']",2,15,5,10,33.33
tres-adorable,16764,"['tres', 'adorable']",2,13,5,8,38.46
streetartcities,16748,"['street', 'art', 'cities']",3,15,6,9,40.0
lindamodel-exposed,16746,"['linda', 'model', 'exposed']",3,18,7,11,38.89
talentplatforms,16743,"['talent', 'platforms']",2,15,4,11,26.67
sexmodel-secrets,16734,"['sex', 'model', 'secrets']",3,16,5,11,31.25
hotelsmallorca24,16722,"['hotels', 'mallorca']",2,16,5,11,31.25
dev-ngrok-free,16668,"['dev', 'rok', 'free']",3,14,4,10,28.57
sharewarecentral,16659,"['shareware', 'central']",2,16,6,10,37.5
globaldailydealassociation,16644,"['global', 'daily', 'deal', 'association']",4,26,12,14,46.15
china-jlsports,16638,"['china', 'sports']",2,14,3,11,21.43
chuanchengmingyi,16610,"['chuan', 'cheng', 'ming']",3,16,5,11,31.25
szkolnastrona,16608,"['kol', 'astron']",2,13,4,9,30.77
printyourfood,16608,"['print', 'your', 'food']",3,13,5,8,38.46
changqingschool,16596,"['chang', 'qing', 'school']",3,15,4,11,26.67
goodkarmastroy,16593,"['good', 'karmas', 'troy']",3,14,5,9,35.71
miami-metropolitan-area,16581,"['miami', 'metropolitan', 'area']",3,23,11,12,47.83
trackreceptor,16578,"['track', 'receptor']",2,13,4,9,30.77
tracksymphony,16578,"['track', 'symphony']",2,13,2,11,15.38
feministesenmouvements,16575,"['feminist', 'mouvement']",2,22,9,13,40.91
formationsp76,16548,['formations'],1,13,4,9,30.77
healthstation,16543,"['health', 'station']",2,13,5,8,38.46
thetravelagentnextdoor,16539,"['the', 'travel', 'agent', 'next', 'door']",5,22,8,14,36.36
genevageneral,16539,"['geneva', 'general']",2,13,6,7,46.15
kinedo-douche,16527,"['kin', 'edo', 'douche']",3,13,6,7,46.15
irinastarovid,16524,"['irina', 'star', 'ovid']",3,13,6,7,46.15
physicalprofits,16506,"['physical', 'profits']",2,15,4,11,26.67
hsxuanyuanhotel,16499,"['xuan', 'yuan', 'hotel']",3,15,6,9,40.0
sardiniahotels24,16473,"['sardinia', 'hotels']",2,16,6,10,37.5
ginzacontacts,16465,"['ginza', 'contacts']",2,13,4,9,30.77
galerie-creation,16461,"['galerie', 'creation']",2,16,8,8,50.0
onlinehdstream,16435,"['online', 'stream']",2,14,5,9,35.71
paintballfest,16434,"['paintball', 'fest']",2,13,4,9,30.77
centrosantoafonsodeligorio,16428,"['centro', 'santo', 'afonso', 'deli', 'rio']",5,26,12,14,46.15
cognix-systems,16424,"['cog', 'nix', 'systems']",3,14,3,11,21.43
accountservergroup,16409,"['account', 'server', 'group']",3,18,7,11,38.89
gidpokreditam,16407,"['gid', 'pok', 'red']",3,13,5,8,38.46
zgsamanwenhua,16398,"['saman', 'wen', 'hua']",3,13,5,8,38.46
myteachersite,16392,"['teacher', 'site']",2,13,5,8,38.46
outstandingcsa,16392,"['outstanding', 'csa']",2,14,5,9,35.71
petrobaltgroup,16380,"['petro', 'bal', 'group']",3,14,5,9,35.71
gravitational,16376,['gravitational'],1,13,6,7,46.15
roskapitalitiinfo,16344,"['ros', 'kapital', 'info']",3,17,8,9,47.06
liveauctioneers,16324,"['live', 'auctioneers']",2,15,8,7,53.33
istanbulhotels365,16323,"['istanbul', 'hotels', '365']",3,17,5,12,29.41
friendscheers,16313,"['friends', 'cheers']",2,13,4,9,30.77
bogotaenmariachi,16308,"['bogota', 'mariachi']",2,16,8,8,50.0
guangzhouhotelschina,16308,"['guangzhou', 'hotels', 'china']",3,20,8,12,40.0
matthiasschild,16308,"['matthias', 'child']",2,14,4,10,28.57
lumina-previews,16301,"['lumina', 'previews']",2,15,6,9,40.0
pussyreviewed,16296,"['pussy', 'reviewed']",2,13,5,8,38.46
employeemillionare,16296,"['employee', 'million', 'are']",3,18,9,9,50.0
furnitureandme,16296,"['furniture', 'and']",2,14,6,8,42.86
avonrepresentative,16278,"['avon', 'representative']",2,18,8,10,44.44
saloproduction,16260,"['salo', 'production']",2,14,6,8,42.86
empleogenerales,16248,"['emp', 'leo', 'general']",3,15,7,8,46.67
camgirls-secrets,16230,"['cam', 'girls', 'secrets']",3,16,4,12,25.0
contactoparaweb,16221,"['contact', 'para', 'web']",3,15,6,9,40.0
futuretornado,16212,"['future', 'tornado']",2,13,6,7,46.15
libre-algerie,16205,"['libre', 'alger']",2,13,6,7,46.15
opsourcecloud,16203,"['source', 'cloud']",2,13,6,7,46.15
onenightchicksfinder,16200,"['one', 'night', 'chicks', 'finder']",4,20,6,14,30.0
onenightadultsfinder,16200,"['one', 'night', 'adults', 'finder']",4,20,7,13,35.0
petiteladiesfinder,16191,"['petite', 'ladies', 'finder']",3,18,8,10,44.44
juicyloversfinder,16191,"['juicy', 'lovers', 'finder']",3,17,6,11,35.29
letmeshowyoumylove,16191,"['let', 'show', 'you', 'love']",4,18,7,11,38.89
empresasenmexico,16189,"['emp', 'res', 'mexico']",3,16,7,9,43.75
online-server,16183,"['online', 'server']",2,13,5,8,38.46
freedomsailing,16165,"['freedom', 'sailing']",2,14,6,8,42.86
centr-rynokvrn,16158,['cent'],1,14,2,12,14.29
hotelspiedmont,16143,"['hotels', 'piedmont']",2,14,5,9,35.71
teledata-fttx,16134,"['tele', 'data']",2,13,4,9,30.77
yalovaservisi,16096,"['yalova', 'rvis']",2,13,6,7,46.15
xn--777-iddy3ab1byh,16094,"['777', 'idd']",2,19,2,17,10.53
hotels-in-utah,16068,"['hotels', 'utah']",2,14,5,9,35.71
hbgveggiefest,16038,"['veggie', 'fest']",2,13,4,9,30.77
hotels-in-campania,16023,"['hotels', 'campania']",2,18,7,11,38.89
mature-for-you,16023,"['mature', 'for', 'you']",3,14,6,8,42.86
chunuxinghaoyl,16020,"['chun', 'xing', 'hao']",3,14,5,9,35.71
gibolt-bithon,16019,"['bolt', 'bit', 'hon']",3,13,4,9,30.77
livegirls-secrets,15990,"['live', 'girls', 'secrets']",3,17,5,12,29.41
derikl-hokohan,15976,"['erik', 'koh']",2,14,5,9,35.71
allsuratthanihotels,15969,"['all', 'surat', 'than', 'hotels']",4,19,7,12,36.84
samochody-weselne,15965,"['sam', 'ocho', 'wesel']",3,17,6,11,35.29
tokyohoteltour,15965,"['tokyo', 'hotel', 'tour']",3,14,6,8,42.86
verygoodproxy,15956,"['very', 'good', 'proxy']",3,13,4,9,30.77
luckydragonstudio,15949,"['lucky', 'dragon', 'studio']",3,17,6,11,35.29
hotelescotedazur,15939,"['hotel', 'cote', 'azur']",3,16,7,9,43.75
pornblogspace,15939,"['porn', 'blog', 'space']",3,13,4,9,30.77
best-hotels-cannes,15936,"['best', 'hotels', 'cannes']",3,18,5,13,27.78
florence-hotels-it,15933,"['florence', 'hotels']",2,18,6,12,33.33
getthefactshomeinspection,15924,"['get', 'the', 'facts', 'home', 'inspection']",5,25,9,16,36.0
denvergreenjobs,15913,"['denver', 'green', 'jobs']",3,15,5,10,33.33
newbodrumrestaurant,15912,"['new', 'bodrum', 'restaurant']",3,19,7,12,36.84
uchwycone-chwile,15912,"['hwy', 'cone', 'wile']",3,16,5,11,31.25
marketmakerleads,15886,"['market', 'maker', 'leads']",3,16,6,10,37.5
meyer-optik-goerlitz,15885,"['meyer', 'tik', 'goer', 'litz']",4,20,7,13,35.0
himchistka-dom,15883,"['him', 'his', 'tka', 'dom']",4,14,4,10,28.57
homedecorinteriordesigns,15868,"['home', 'decor', 'interior', 'designs']",4,24,10,14,41.67
completeaudioandvideo,15864,"['complete', 'audio', 'and', 'video']",4,21,11,10,52.38
hotelinewyork,15855,"['hotel', 'new', 'york']",3,13,5,8,38.46
extranet-administrateurs,15828,"['extra', 'net', 'administrate', 'urs']",4,24,9,15,37.5
livesexcamsnova,15824,"['live', 'sex', 'cams', 'nova']",4,15,6,9,40.0
instanttraders,15810,"['instant', 'traders']",2,14,4,10,28.57
hotelsbuenosaires,15802,"['hotels', 'buenos', 'aires']",3,17,8,9,47.06
centraleuropetravel,15798,"['central', 'europe', 'travel']",3,19,8,11,42.11
designinfosystem,15792,"['design', 'info', 'system']",3,16,5,11,31.25
elmetodoespanol,15792,['espanol'],1,15,7,8,46.67
myrealestatebusiness,15792,"['real', 'estate', 'business']",3,20,8,12,40.0
duhonmachinery,15789,"['duh', 'machinery']",2,14,5,9,35.71
fithealthblog,15787,"['fit', 'health', 'blog']",3,13,4,9,30.77
tencent-cloud,15760,"['tencent', 'cloud']",2,13,4,9,30.77
disposablecode,15756,"['disposable', 'code']",2,14,6,8,42.86
webdevelopers,15755,"['web', 'developers']",2,13,5,8,38.46
karamurselgokceemlak,15748,"['kara', 'murs', 'eem', 'lak']",4,20,8,12,40.0
modhumotyhaat,15744,"['mod', 'humo']",2,13,5,8,38.46
madridrealhotel,15740,"['madrid', 'real', 'hotel']",3,15,6,9,40.0
restaurantegreenhouse,15739,"['restaurant', 'greenhouse']",2,21,10,11,47.62
aodap-staging,15732,"['oda', 'staging']",2,13,5,8,38.46
empresasclasificadas,15730,"['emp', 'res', 'cad']",3,20,8,12,40.0
allguangzhouhotels,15708,"['all', 'guangzhou', 'hotels']",3,18,7,11,38.89
sonassihosting,15706,"['son', 'hosting']",2,14,5,9,35.71
saasprotection,15701,"['saas', 'protection']",2,14,6,8,42.86
goldclub-mktg,15690,"['gold', 'club', 'mkt']",3,13,2,11,15.38
maketheseasonbright,15687,"['make', 'the', 'season', 'bright']",4,19,7,12,36.84
foreignpolicy,15687,"['foreign', 'policy']",2,13,5,8,38.46
everlastingspa,15667,"['everlasting', 'spa']",2,14,5,9,35.71
polishedplastering,15658,"['polished', 'plastering']",2,18,6,12,33.33
clfford-ortiz,15652,"['clf', 'ford', 'ortiz']",3,13,3,10,23.08
hotelsinsaintpetersburg,15645,"['hotels', 'saint', 'petersburg']",3,23,8,15,34.78
my-gaestebuch,15641,"['este', 'buch']",2,13,4,9,30.77
ibericaderedes,15628,"['rica', 'red']",2,14,7,7,50.0
ho-chi-minh-city-hotels,15627,"['chi', 'minh', 'city', 'hotels']",4,23,6,17,26.09
your-storageshare,15604,"['your', 'storage', 'share']",3,17,7,10,41.18
ofertasespana,15599,"['ert', 'espana']",2,13,6,7,46.15
cangzhourongda,15595,"['can', 'hour', 'gda']",3,14,5,9,35.71
garagenschutz,15588,"['garage', 'schutz']",2,13,4,9,30.77
energy-robotics,15584,"['energy', 'robotics']",2,15,5,10,33.33
cornerstonecellars,15579,"['cornerstone', 'cellars']",2,18,6,12,33.33
nolongeruseddomain,15578,"['longer', 'used', 'domain']",3,18,8,10,44.44
ideasandassociates,15570,"['ideas', 'and', 'associates']",3,18,9,9,50.0
smithvilledigital,15569,"['smith', 'ville', 'digital']",3,17,6,11,35.29
tabapuaradioweb,15555,"['tab', 'apu', 'radio', 'web']",4,15,8,7,53.33
domainedepradejorda,15546,"['domain', 'ede', 'pra', 'jord']",4,19,9,10,47.37
easy-rencontre,15543,"['easy', 'ren', 'contre']",3,14,5,9,35.71
best-dubai-hotels,15540,"['best', 'dubai', 'hotels']",3,17,6,11,35.29
okohan-cevebt,15532,"['koh', 'eve']",2,13,5,8,38.46
