sld,occurrence_count,words,word_count,length,vowels,consonants,vowel_percentage
thrivedeskdocs,251262,"['thrive', 'desk', 'docs']",3,14,4,10,28.57
creative-servers,245368,"['creative', 'servers']",2,16,6,10,37.5
thextremenutrition,244335,"['the', 'xtreme', 'nutrition']",3,18,7,11,38.89
takamatsu-fivearrows,236063,"['takamatsu', 'five', 'arrows']",3,20,8,12,40.0
programas-gratis,235862,"['program', 'gratis']",2,16,5,11,31.25
kleinanzegien,235248,"['klein', 'anz', 'ien']",3,13,6,7,46.15
abandonedproperty,234505,"['abandoned', 'property']",2,17,6,11,35.29
pagesperso-orange,229903,"['pages', 'perso', 'orange']",3,17,7,10,41.18
poczta-online,229812,['online'],1,13,5,8,38.46
mystudenthosting,227602,"['student', 'hosting']",2,16,4,12,25.0
searchengineinfo,227249,"['search', 'engine', 'info']",3,16,7,9,43.75
thelyricarchive,226689,"['the', 'lyric', 'archive']",3,15,5,10,33.33
leaguetoolbox,221927,"['league', 'toolbox']",2,13,7,6,53.85
livefreepornvideo,216822,"['live', 'free', 'porn', 'video']",4,17,8,9,47.06
directideleteddomain,215930,"['direct', 'deleted', 'domain']",3,20,9,11,45.0
airstreamcomm,215783,"['air', 'stream', 'com']",3,13,5,8,38.46
buckminster076,212007,"['buckminster', '076']",2,14,3,11,21.43
hawaiiteleport,211293,"['hawaii', 'teleport']",2,14,7,7,50.0
thenetworkfactory,210842,"['the', 'network', 'factory']",3,17,5,12,29.41
mandyprofiles,208302,"['mandy', 'profiles']",2,13,4,9,30.77
teleport-iabg,197410,['teleport'],1,13,5,8,38.46
health-partners,196749,"['health', 'partners']",2,15,4,11,26.67
additionnetworks,196114,"['addition', 'networks']",2,16,6,10,37.5
myhealthychocolateblog,196058,"['healthy', 'chocolate', 'blog']",3,22,7,15,31.82
tailormadeservers,195369,"['tailor', 'made', 'servers']",3,17,7,10,41.18
uni-heidelberg,195315,"['uni', 'heidelberg']",2,14,6,8,42.86
gobrightspeed,194363,"['bright', 'speed']",2,13,4,9,30.77
mailprotector,192863,"['mail', 'protector']",2,13,5,8,38.46
oracleoutsourcing,192597,"['oracle', 'outsourcing']",2,17,8,9,47.06
telebecinternet,191064,"['tele', 'bec', 'internet']",3,15,6,9,40.0
samsungtabletpc,189978,"['samsung', 'tablet']",2,15,4,11,26.67
niketnrequinfr,189772,"['nike', 'quin']",2,14,5,9,35.71
signmyguestbook,189120,"['sign', 'guest', 'book']",3,15,5,10,33.33
webninjashops,188786,"['web', 'ninja', 'shops']",3,13,4,9,30.77
yangguangyanglao,188068,"['yang', 'guang', 'yang', 'lao']",4,16,6,10,37.5
opticaljungle,187890,"['optical', 'jungle']",2,13,5,8,38.46
softwareprimary,187188,"['software', 'primary']",2,15,5,10,33.33
naturalwireless,186160,"['natural', 'wireless']",2,15,6,9,40.0
remotewebaccess,185842,"['remote', 'web', 'access']",3,15,6,9,40.0
spearpointing,185677,"['spear', 'pointing']",2,13,5,8,38.46
naturalishealthy,184878,"['naturalis', 'healthy']",2,16,6,10,37.5
bradleycrossing,183889,"['bradley', 'crossing']",2,15,4,11,26.67
frontiernetworks,182434,"['frontier', 'networks']",2,16,5,11,31.25
xn--djrq84b3sfdwak93dz4q8qc,180066,[],0,27,1,26,3.7
huijieyoufawu,179405,"['hui', 'jie', 'you']",3,13,8,5,61.54
huangtianshiye,179313,"['huang', 'tian', 'shi']",3,14,6,8,42.86
footballworld,178591,"['football', 'world']",2,13,4,9,30.77
rogerstelecom,173470,"['rogers', 'telecom']",2,13,5,8,38.46
amazoncognito,172507,"['amazon', 'ogni']",2,13,6,7,46.15
medianet-world,171945,"['media', 'net', 'world']",3,14,5,9,35.71
inmotionhosting,171759,"['motion', 'hosting']",2,15,6,9,40.0
nordiceuropean,171711,"['nordic', 'european']",2,14,7,7,50.0
forcefieldapp,170798,"['force', 'field', 'app']",3,13,5,8,38.46
windhorseproject,170484,"['wind', 'horse', 'project']",3,16,5,11,31.25
deepdialogues,169409,"['deep', 'dialogues']",2,13,7,6,53.85
escortbabylon,168579,"['escort', 'babylon']",2,13,4,9,30.77
extractorvent,168071,"['extractor', 'vent']",2,13,4,9,30.77
worldsexplanet,165060,"['world', 'sex', 'planet']",3,14,4,10,28.57
defirmenkataloge,164382,"['firm', 'kata', 'loge']",3,16,7,9,43.75
dirtysexyprettyfun,163626,"['dirty', 'sexy', 'pretty', 'fun']",4,18,4,14,22.22
ezecastlehosting,162511,"['eze', 'castle', 'hosting']",3,16,6,10,37.5
lindaprofiles,161850,"['linda', 'profiles']",2,13,5,8,38.46
cloudbeds-dev,157498,"['cloud', 'beds', 'dev']",3,13,4,9,30.77
uni-stuttgart,157392,"['uni', 'stuttgart']",2,13,4,9,30.77
shoplightspeed,156228,"['shop', 'lightspeed']",2,14,4,10,28.57
patientrewardshub,154976,"['patient', 'rewards', 'hub']",3,17,6,11,35.29
dropboxusercontent,153433,"['drop', 'box', 'user', 'content']",4,18,6,12,33.33
residentportal,153094,"['resident', 'portal']",2,14,5,9,35.71
mammothnetworks,152954,"['mammoth', 'networks']",2,15,4,11,26.67
bluehostwebservers,151977,"['blue', 'host', 'web', 'servers']",4,18,6,12,33.33
hotsexyandbigtits,150804,"['hot', 'sexy', 'and', 'big', 'tits']",5,17,5,12,29.41
aviationmanagement,150562,"['aviation', 'management']",2,18,9,9,50.0
genericreverse,149367,"['generic', 'reverse']",2,14,6,8,42.86
top-hotels-gr,146703,"['top', 'hotels']",2,13,3,10,23.08
nationbuilder,146105,"['nation', 'builder']",2,13,6,7,46.15
free-press-release,142995,"['free', 'press', 'release']",3,18,7,11,38.89
123-free-download,142477,"['123', 'free', 'download']",3,17,5,12,29.41
webmatrixhosting,141170,"['web', 'matrix', 'hosting']",3,16,5,11,31.25
