Episode 164/10000, Avg Reward: 820.58, Explained Var: 0.00
Episode 165/10000, Avg Reward: 177.92, Explained Var: 0.02
Episode 166/10000, Avg Reward: 427.33, Explained Var: 0.01
Episode 167/10000, Avg Reward: 423.04, Explained Var: 0.00
Episode 168/10000, Avg Reward: 461.99, Explained Var: 0.00
Episode 169/10000, Avg Reward: 98.23, Explained Var: 0.02
Episode 170/10000, Avg Reward: 523.95, Explained Var: 0.01
Episode 171/10000, Avg Reward: 571.65, Explained Var: 0.01
Episode 172/10000, Avg Reward: 271.08, Explained Var: 0.01
Episode 173/10000, Avg Reward: 506.71, Explained Var: 0.00
Episode 174/10000, Avg Reward: 353.69, Explained Var: 0.01
Episode 175/10000, Avg Reward: 1000.52, Explained Var: 0.00
Episode 176/10000, Avg Reward: 561.24, Explained Var: 0.00
Episode 177/10000, Avg Reward: 197.58, Explained Var: 0.01
Episode 178/10000, Avg Reward: 138.36, Explained Var: 0.00
Episode 179/10000, Avg Reward: 638.25, Explained Var: 0.00
Episode 180/10000, Avg Reward: 437.36, Explained Var: 0.00
Episode 181/10000, Avg Reward: 409.19, Explained Var: 0.01
Episode 182/10000, Avg Reward: 150.64, Explained Var: 0.03
Episode 183/10000, Avg Reward: 266.48, Explained Var: 0.01
Episode 184/10000, Avg Reward: 331.41, Explained Var: 0.01
Episode 185/10000, Avg Reward: 492.29, Explained Var: 0.01
Episode 186/10000, Avg Reward: 1266.28, Explained Var: 0.00
Episode 187/10000, Avg Reward: 156.04, Explained Var: 0.02
Episode 188/10000, Avg Reward: 226.99, Explained Var: 0.01
Episode 189/10000, Avg Reward: 476.79, Explained Var: 0.01
Episode 190/10000, Avg Reward: 714.28, Explained Var: 0.00
Episode 191/10000, Avg Reward: 43.12, Explained Var: 0.04
Episode 192/10000, Avg Reward: 825.33, Explained Var: 0.00
Episode 193/10000, Avg Reward: 497.72, Explained Var: 0.01
Episode 194/10000, Avg Reward: 636.29, Explained Var: 0.00
Episode 195/10000, Avg Reward: 460.35, Explained Var: 0.00
Episode 196/10000, Avg Reward: 49.28, Explained Var: 0.06
Episode 197/10000, Avg Reward: 572.84, Explained Var: 0.00
Episode 198/10000, Avg Reward: 790.83, Explained Var: 0.01
Episode 199/10000, Avg Reward: 1020.23, Explained Var: 0.00
Episode 200/10000, Avg Reward: 697.29, Explained Var: 0.00
Episode 201/10000, Avg Reward: 353.70, Explained Var: 0.01
Episode 202/10000, Avg Reward: 297.19, Explained Var: 0.01
Episode 203/10000, Avg Reward: 499.96, Explained Var: 0.01
Episode 204/10000, Avg Reward: 268.23, Explained Var: 0.01
Episode 205/10000, Avg Reward: 117.20, Explained Var: 0.03
Episode 206/10000, Avg Reward: 1123.09, Explained Var: 0.00
Episode 207/10000, Avg Reward: 260.18, Explained Var: 0.01
Episode 208/10000, Avg Reward: 820.05, Explained Var: 0.00
Episode 209/10000, Avg Reward: 491.11, Explained Var: 0.01
Episode 210/10000, Avg Reward: 659.90, Explained Var: 0.01
Episode 211/10000, Avg Reward: 710.06, Explained Var: 0.00
Episode 212/10000, Avg Reward: 269.66, Explained Var: 0.01
Episode 213/10000, Avg Reward: 1019.61, Explained Var: 0.00
Episode 214/10000, Avg Reward: 603.68, Explained Var: 0.00
Episode 215/10000, Avg Reward: 628.70, Explained Var: 0.01
Episode 216/10000, Avg Reward: 781.25, Explained Var: 0.00
Episode 217/10000, Avg Reward: 376.73, Explained Var: 0.01
Episode 218/10000, Avg Reward: 413.15, Explained Var: 0.01
Episode 219/10000, Avg Reward: 441.49, Explained Var: 0.01
Episode 220/10000, Avg Reward: 390.11, Explained Var: 0.01
Episode 221/10000, Avg Reward: 394.53, Explained Var: 0.01
Episode 222/10000, Avg Reward: 174.71, Explained Var: 0.01
Episode 223/10000, Avg Reward: 477.46, Explained Var: 0.01
Episode 224/10000, Avg Reward: 384.34, Explained Var: 0.01
Episode 225/10000, Avg Reward: 634.06, Explained Var: 0.00
Episode 226/10000, Avg Reward: 257.15, Explained Var: 0.01
Episode 227/10000, Avg Reward: 634.22, Explained Var: 0.01
Episode 228/10000, Avg Reward: 412.27, Explained Var: 0.01
Episode 229/10000, Avg Reward: 138.56, Explained Var: 0.01
Episode 230/10000, Avg Reward: 490.02, Explained Var: 0.01
Episode 231/10000, Avg Reward: 424.32, Explained Var: 0.01
Episode 232/10000, Avg Reward: 178.00, Explained Var: 0.02
Episode 233/10000, Avg Reward: 822.85, Explained Var: 0.01
Episode 234/10000, Avg Reward: 321.87, Explained Var: 0.01
Episode 235/10000, Avg Reward: 276.20, Explained Var: 0.02
Episode 236/10000, Avg Reward: 479.80, Explained Var: 0.01
Episode 237/10000, Avg Reward: 414.99, Explained Var: 0.01
Episode 238/10000, Avg Reward: 1001.40, Explained Var: 0.00
Episode 239/10000, Avg Reward: 693.21, Explained Var: 0.01
Episode 240/10000, Avg Reward: 223.78, Explained Var: 0.02
Episode 241/10000, Avg Reward: 262.12, Explained Var: 0.01
Episode 242/10000, Avg Reward: 723.00, Explained Var: 0.01
Episode 243/10000, Avg Reward: 224.23, Explained Var: 0.02
Episode 244/10000, Avg Reward: 173.92, Explained Var: 0.02
Episode 245/10000, Avg Reward: 419.75, Explained Var: 0.02
Episode 246/10000, Avg Reward: 796.69, Explained Var: 0.01
Episode 247/10000, Avg Reward: 972.82, Explained Var: 0.01
Episode 248/10000, Avg Reward: 431.70, Explained Var: 0.01
Episode 249/10000, Avg Reward: 445.17, Explained Var: 0.01
Episode 250/10000, Avg Reward: 381.29, Explained Var: 0.01
Episode 251/10000, Avg Reward: 1137.63, Explained Var: 0.00
Episode 252/10000, Avg Reward: 154.51, Explained Var: 0.02
Episode 253/10000, Avg Reward: 332.37, Explained Var: 0.02
Episode 254/10000, Avg Reward: 265.13, Explained Var: 0.02
Episode 255/10000, Avg Reward: 886.37, Explained Var: 0.01
Episode 256/10000, Avg Reward: 219.37, Explained Var: 0.02
Episode 257/10000, Avg Reward: 464.50, Explained Var: 0.02
Episode 258/10000, Avg Reward: 357.56, Explained Var: 0.01
Episode 259/10000, Avg Reward: 372.56, Explained Var: 0.01
Episode 260/10000, Avg Reward: 152.48, Explained Var: 0.04
Episode 261/10000, Avg Reward: 138.65, Explained Var: 0.03
Episode 262/10000, Avg Reward: 360.77, Explained Var: 0.01
Episode 263/10000, Avg Reward: 361.96, Explained Var: 0.01
Episode 264/10000, Avg Reward: 492.95, Explained Var: 0.02
Episode 265/10000, Avg Reward: 271.89, Explained Var: 0.01
Episode 266/10000, Avg Reward: 1141.91, Explained Var: 0.01
Episode 267/10000, Avg Reward: 157.73, Explained Var: 0.03
Episode 268/10000, Avg Reward: 146.80, Explained Var: 0.04
Episode 269/10000, Avg Reward: 273.58, Explained Var: 0.02
Episode 270/10000, Avg Reward: 423.47, Explained Var: 0.02
Episode 271/10000, Avg Reward: 441.40, Explained Var: 0.01
Episode 272/10000, Avg Reward: 287.38, Explained Var: 0.01
Episode 273/10000, Avg Reward: 72.39, Explained Var: 0.06
Episode 274/10000, Avg Reward: 556.01, Explained Var: 0.02
Episode 275/10000, Avg Reward: 141.20, Explained Var: 0.01
Episode 276/10000, Avg Reward: 820.60, Explained Var: 0.01
Episode 277/10000, Avg Reward: 804.11, Explained Var: 0.01
Episode 278/10000, Avg Reward: 536.08, Explained Var: 0.02
Episode 279/10000, Avg Reward: 292.59, Explained Var: 0.02
Episode 280/10000, Avg Reward: 271.85, Explained Var: 0.02
Episode 281/10000, Avg Reward: 626.01, Explained Var: 0.01
Episode 282/10000, Avg Reward: 344.84, Explained Var: 0.02
Episode 283/10000, Avg Reward: 633.68, Explained Var: 0.01
Episode 284/10000, Avg Reward: 508.29, Explained Var: 0.01
Episode 285/10000, Avg Reward: 655.61, Explained Var: 0.01
Episode 286/10000, Avg Reward: 1505.99, Explained Var: 0.01
Episode 287/10000, Avg Reward: 296.54, Explained Var: 0.02
Episode 288/10000, Avg Reward: 150.72, Explained Var: 0.04
Episode 289/10000, Avg Reward: 146.73, Explained Var: 0.06
Episode 290/10000, Avg Reward: 346.06, Explained Var: 0.02
Episode 291/10000, Avg Reward: 477.80, Explained Var: 0.02
Episode 292/10000, Avg Reward: 101.55, Explained Var: 0.05
Episode 293/10000, Avg Reward: 529.42, Explained Var: 0.02
Episode 294/10000, Avg Reward: 635.28, Explained Var: 0.01
Episode 295/10000, Avg Reward: 470.37, Explained Var: 0.01
Episode 296/10000, Avg Reward: 932.53, Explained Var: 0.01
Episode 297/10000, Avg Reward: 653.92, Explained Var: 0.01
Episode 298/10000, Avg Reward: 579.91, Explained Var: 0.01
Episode 299/10000, Avg Reward: 779.81, Explained Var: 0.01
Episode 300/10000, Avg Reward: 253.45, Explained Var: 0.04
Episode 301/10000, Avg Reward: 219.66, Explained Var: 0.03
Episode 302/10000, Avg Reward: 103.51, Explained Var: 0.07
Episode 303/10000, Avg Reward: 445.79, Explained Var: 0.02
Episode 304/10000, Avg Reward: 347.99, Explained Var: 0.02
Episode 305/10000, Avg Reward: 996.03, Explained Var: 0.01
Episode 306/10000, Avg Reward: 997.09, Explained Var: 0.01
Episode 307/10000, Avg Reward: 474.98, Explained Var: 0.02
Episode 308/10000, Avg Reward: 453.61, Explained Var: 0.02
Episode 309/10000, Avg Reward: 1007.34, Explained Var: 0.01
Episode 310/10000, Avg Reward: 642.78, Explained Var: 0.01
Episode 311/10000, Avg Reward: 589.42, Explained Var: 0.01
Episode 312/10000, Avg Reward: 138.86, Explained Var: 0.09
Episode 313/10000, Avg Reward: 791.62, Explained Var: 0.01
Episode 314/10000, Avg Reward: 295.73, Explained Var: 0.03
Episode 315/10000, Avg Reward: 571.34, Explained Var: 0.01
Episode 316/10000, Avg Reward: 459.04, Explained Var: 0.02
Episode 317/10000, Avg Reward: 744.66, Explained Var: 0.01
Episode 318/10000, Avg Reward: 639.65, Explained Var: 0.01
Episode 319/10000, Avg Reward: 443.53, Explained Var: 0.03
Episode 320/10000, Avg Reward: 266.13, Explained Var: 0.03
Episode 321/10000, Avg Reward: 1147.83, Explained Var: 0.01
Episode 322/10000, Avg Reward: 174.56, Explained Var: 0.05
Episode 323/10000, Avg Reward: 729.63, Explained Var: 0.01
Episode 324/10000, Avg Reward: 515.97, Explained Var: 0.01
Episode 325/10000, Avg Reward: 421.46, Explained Var: 0.02
Episode 326/10000, Avg Reward: 297.28, Explained Var: 0.03
Episode 327/10000, Avg Reward: 1022.33, Explained Var: 0.01
Episode 328/10000, Avg Reward: 102.48, Explained Var: 0.05
Episode 329/10000, Avg Reward: 153.25, Explained Var: 0.05
Episode 330/10000, Avg Reward: 1215.66, Explained Var: 0.01
Episode 331/10000, Avg Reward: 295.91, Explained Var: 0.03
Episode 332/10000, Avg Reward: 471.66, Explained Var: 0.02
Episode 333/10000, Avg Reward: 258.68, Explained Var: 0.03
Episode 334/10000, Avg Reward: 791.75, Explained Var: 0.01
Episode 335/10000, Avg Reward: 628.76, Explained Var: 0.02
Episode 336/10000, Avg Reward: 241.60, Explained Var: 0.04
Episode 337/10000, Avg Reward: 121.52, Explained Var: 0.09
Episode 338/10000, Avg Reward: 291.87, Explained Var: 0.02
Episode 339/10000, Avg Reward: 213.30, Explained Var: 0.05
Episode 340/10000, Avg Reward: 422.93, Explained Var: 0.02
Episode 341/10000, Avg Reward: 776.96, Explained Var: 0.02
Episode 342/10000, Avg Reward: 413.50, Explained Var: 0.02
Episode 343/10000, Avg Reward: 628.42, Explained Var: 0.02
Episode 344/10000, Avg Reward: 94.69, Explained Var: 0.09
Episode 345/10000, Avg Reward: 423.68, Explained Var: 0.03
Episode 346/10000, Avg Reward: 77.85, Explained Var: 0.06
Episode 347/10000, Avg Reward: 101.48, Explained Var: 0.09
Episode 348/10000, Avg Reward: 324.24, Explained Var: 0.04
Episode 349/10000, Avg Reward: 279.15, Explained Var: 0.03
Episode 350/10000, Avg Reward: 429.26, Explained Var: 0.03
Episode 351/10000, Avg Reward: 297.30, Explained Var: 0.02
Episode 352/10000, Avg Reward: 224.38, Explained Var: 0.06
Episode 353/10000, Avg Reward: 269.13, Explained Var: 0.03
Episode 354/10000, Avg Reward: 135.70, Explained Var: 0.06
Episode 355/10000, Avg Reward: 475.11, Explained Var: 0.03
Episode 356/10000, Avg Reward: 137.06, Explained Var: 0.05
Episode 357/10000, Avg Reward: 225.70, Explained Var: 0.04
Episode 358/10000, Avg Reward: 219.05, Explained Var: 0.03
Episode 359/10000, Avg Reward: 148.57, Explained Var: 0.07
Episode 360/10000, Avg Reward: 582.87, Explained Var: 0.02
Episode 361/10000, Avg Reward: 632.86, Explained Var: 0.01
Episode 362/10000, Avg Reward: 129.78, Explained Var: 0.06
Episode 363/10000, Avg Reward: 343.78, Explained Var: 0.03
Episode 364/10000, Avg Reward: 388.87, Explained Var: 0.03
Episode 365/10000, Avg Reward: 175.84, Explained Var: 0.06
Episode 366/10000, Avg Reward: 445.25, Explained Var: 0.03
Episode 367/10000, Avg Reward: 114.24, Explained Var: 0.08
Episode 368/10000, Avg Reward: 90.16, Explained Var: 0.10
Episode 369/10000, Avg Reward: 930.20, Explained Var: 0.01
Episode 370/10000, Avg Reward: 1003.37, Explained Var: 0.01
Episode 371/10000, Avg Reward: 299.68, Explained Var: 0.04
Episode 372/10000, Avg Reward: 249.89, Explained Var: 0.04
