Episode 178/10000, Avg Reward: 207.99, Explained Var: 0.01
Episode 179/10000, Avg Reward: 548.08, Explained Var: 0.01
Episode 180/10000, Avg Reward: 419.75, Explained Var: 0.01
Episode 181/10000, Avg Reward: 99.11, Explained Var: 0.02
Episode 182/10000, Avg Reward: 136.95, Explained Var: 0.01
Episode 183/10000, Avg Reward: 449.39, Explained Var: 0.01
Episode 184/10000, Avg Reward: 359.16, Explained Var: 0.00
Episode 185/10000, Avg Reward: 427.04, Explained Var: 0.01
Episode 186/10000, Avg Reward: 184.95, Explained Var: 0.01
Episode 187/10000, Avg Reward: 940.83, Explained Var: 0.00
Episode 188/10000, Avg Reward: 466.18, Explained Var: 0.01
Episode 189/10000, Avg Reward: 726.68, Explained Var: 0.00
Episode 190/10000, Avg Reward: 558.13, Explained Var: 0.01
Episode 191/10000, Avg Reward: 224.19, Explained Var: 0.02
Episode 192/10000, Avg Reward: 793.07, Explained Var: 0.00
Episode 193/10000, Avg Reward: 278.21, Explained Var: 0.01
Episode 194/10000, Avg Reward: 511.88, Explained Var: 0.01
Episode 195/10000, Avg Reward: 824.60, Explained Var: 0.00
Episode 196/10000, Avg Reward: 1274.60, Explained Var: 0.00
Episode 197/10000, Avg Reward: 388.57, Explained Var: 0.00
Episode 198/10000, Avg Reward: 429.16, Explained Var: 0.00
Episode 199/10000, Avg Reward: 408.88, Explained Var: 0.01
Episode 200/10000, Avg Reward: 415.09, Explained Var: 0.01
Episode 201/10000, Avg Reward: 407.89, Explained Var: 0.01
Episode 202/10000, Avg Reward: 223.75, Explained Var: 0.01
Episode 203/10000, Avg Reward: 1114.12, Explained Var: 0.00
Episode 204/10000, Avg Reward: 262.95, Explained Var: 0.00
Episode 205/10000, Avg Reward: 479.12, Explained Var: 0.01
Episode 206/10000, Avg Reward: 590.14, Explained Var: 0.00
Episode 207/10000, Avg Reward: 565.46, Explained Var: 0.00
Episode 208/10000, Avg Reward: 270.43, Explained Var: 0.01
Episode 209/10000, Avg Reward: 529.55, Explained Var: 0.00
Episode 210/10000, Avg Reward: 935.24, Explained Var: 0.00
Episode 211/10000, Avg Reward: 95.97, Explained Var: 0.02
Episode 212/10000, Avg Reward: 979.23, Explained Var: 0.00
Episode 213/10000, Avg Reward: 612.90, Explained Var: 0.00
Episode 214/10000, Avg Reward: 728.46, Explained Var: 0.00
Episode 215/10000, Avg Reward: 195.11, Explained Var: 0.02
Episode 216/10000, Avg Reward: 716.90, Explained Var: 0.01
Episode 217/10000, Avg Reward: 388.16, Explained Var: 0.01
Episode 218/10000, Avg Reward: 431.44, Explained Var: 0.01
Episode 219/10000, Avg Reward: 173.37, Explained Var: 0.01
Episode 220/10000, Avg Reward: 263.64, Explained Var: 0.01
Episode 221/10000, Avg Reward: 146.81, Explained Var: 0.03
Episode 222/10000, Avg Reward: 511.84, Explained Var: 0.01
Episode 223/10000, Avg Reward: 721.73, Explained Var: 0.00
Episode 224/10000, Avg Reward: 174.65, Explained Var: 0.02
Episode 225/10000, Avg Reward: 351.32, Explained Var: 0.01
Episode 226/10000, Avg Reward: 154.24, Explained Var: 0.03
Episode 227/10000, Avg Reward: 735.90, Explained Var: 0.00
Episode 228/10000, Avg Reward: 173.44, Explained Var: 0.01
Episode 229/10000, Avg Reward: 1016.07, Explained Var: 0.00
Episode 230/10000, Avg Reward: 412.91, Explained Var: 0.01
Episode 231/10000, Avg Reward: 285.79, Explained Var: 0.01
Episode 232/10000, Avg Reward: 357.14, Explained Var: 0.02
Episode 233/10000, Avg Reward: 463.04, Explained Var: 0.01
Episode 234/10000, Avg Reward: 773.12, Explained Var: 0.00
Episode 235/10000, Avg Reward: 410.88, Explained Var: 0.01
Episode 236/10000, Avg Reward: 95.46, Explained Var: 0.04
Episode 237/10000, Avg Reward: 587.14, Explained Var: 0.00
Episode 238/10000, Avg Reward: 421.91, Explained Var: 0.01
Episode 239/10000, Avg Reward: 878.62, Explained Var: 0.01
Episode 240/10000, Avg Reward: 404.41, Explained Var: 0.01
Episode 241/10000, Avg Reward: 177.26, Explained Var: 0.02
Episode 242/10000, Avg Reward: 266.10, Explained Var: 0.01
Episode 243/10000, Avg Reward: 262.86, Explained Var: 0.01
Episode 244/10000, Avg Reward: 427.95, Explained Var: 0.01
Episode 245/10000, Avg Reward: 94.82, Explained Var: 0.05
Episode 246/10000, Avg Reward: 383.15, Explained Var: 0.01
Episode 247/10000, Avg Reward: 933.78, Explained Var: 0.01
Episode 248/10000, Avg Reward: 481.73, Explained Var: 0.01
Episode 249/10000, Avg Reward: 572.43, Explained Var: 0.01
Episode 250/10000, Avg Reward: 502.71, Explained Var: 0.01
Episode 251/10000, Avg Reward: 384.51, Explained Var: 0.01
Episode 252/10000, Avg Reward: 718.66, Explained Var: 0.01
Episode 253/10000, Avg Reward: 259.36, Explained Var: 0.03
Episode 254/10000, Avg Reward: 721.89, Explained Var: 0.01
Episode 255/10000, Avg Reward: 182.08, Explained Var: 0.03
Episode 256/10000, Avg Reward: 401.72, Explained Var: 0.02
Episode 257/10000, Avg Reward: 173.28, Explained Var: 0.02
Episode 258/10000, Avg Reward: 427.14, Explained Var: 0.02
Episode 259/10000, Avg Reward: 426.77, Explained Var: 0.01
Episode 260/10000, Avg Reward: 130.14, Explained Var: 0.03
Episode 261/10000, Avg Reward: 297.87, Explained Var: 0.03
Episode 262/10000, Avg Reward: 258.68, Explained Var: 0.01
Episode 263/10000, Avg Reward: 429.94, Explained Var: 0.01
Episode 264/10000, Avg Reward: 508.92, Explained Var: 0.01
Episode 265/10000, Avg Reward: 137.84, Explained Var: 0.04
Episode 266/10000, Avg Reward: 793.01, Explained Var: 0.01
Episode 267/10000, Avg Reward: 1008.75, Explained Var: 0.00
Episode 268/10000, Avg Reward: 806.12, Explained Var: 0.01
Episode 269/10000, Avg Reward: 352.86, Explained Var: 0.01
Episode 270/10000, Avg Reward: 472.77, Explained Var: 0.01
Episode 271/10000, Avg Reward: 505.97, Explained Var: 0.01
Episode 272/10000, Avg Reward: 511.62, Explained Var: 0.02
Episode 273/10000, Avg Reward: 889.43, Explained Var: 0.01
Episode 274/10000, Avg Reward: 511.22, Explained Var: 0.01
Episode 275/10000, Avg Reward: 571.48, Explained Var: 0.01
Episode 276/10000, Avg Reward: 179.48, Explained Var: 0.03
Episode 277/10000, Avg Reward: 373.27, Explained Var: 0.02
Episode 278/10000, Avg Reward: 293.35, Explained Var: 0.02
Episode 279/10000, Avg Reward: 522.33, Explained Var: 0.01
Episode 280/10000, Avg Reward: 50.05, Explained Var: 0.10
Episode 281/10000, Avg Reward: 615.16, Explained Var: 0.00
Episode 282/10000, Avg Reward: 357.71, Explained Var: 0.01
Episode 283/10000, Avg Reward: 1001.03, Explained Var: 0.01
Episode 284/10000, Avg Reward: 420.58, Explained Var: 0.01
Episode 285/10000, Avg Reward: 498.76, Explained Var: 0.01
Episode 286/10000, Avg Reward: 563.16, Explained Var: 0.02
Episode 287/10000, Avg Reward: 163.08, Explained Var: 0.02
Episode 288/10000, Avg Reward: 128.97, Explained Var: 0.03
Episode 289/10000, Avg Reward: 222.65, Explained Var: 0.03
Episode 290/10000, Avg Reward: 766.46, Explained Var: 0.01
Episode 291/10000, Avg Reward: 503.80, Explained Var: 0.01
Episode 292/10000, Avg Reward: 446.97, Explained Var: 0.02
Episode 293/10000, Avg Reward: 587.18, Explained Var: 0.01
Episode 294/10000, Avg Reward: 102.28, Explained Var: 0.04
Episode 295/10000, Avg Reward: 456.65, Explained Var: 0.02
Episode 296/10000, Avg Reward: 580.08, Explained Var: 0.02
Episode 297/10000, Avg Reward: 827.32, Explained Var: 0.01
Episode 298/10000, Avg Reward: 445.66, Explained Var: 0.02
Episode 299/10000, Avg Reward: 459.07, Explained Var: 0.01
Episode 300/10000, Avg Reward: 149.74, Explained Var: 0.03
Episode 301/10000, Avg Reward: 174.34, Explained Var: 0.03
Episode 302/10000, Avg Reward: 1017.91, Explained Var: 0.01
Episode 303/10000, Avg Reward: 813.10, Explained Var: 0.01
Episode 304/10000, Avg Reward: 394.09, Explained Var: 0.02
Episode 305/10000, Avg Reward: 382.56, Explained Var: 0.02
Episode 306/10000, Avg Reward: 355.05, Explained Var: 0.02
Episode 307/10000, Avg Reward: 659.68, Explained Var: 0.02
Episode 308/10000, Avg Reward: 815.54, Explained Var: 0.01
Episode 309/10000, Avg Reward: 257.14, Explained Var: 0.02
Episode 310/10000, Avg Reward: 365.46, Explained Var: 0.03
Episode 311/10000, Avg Reward: 272.56, Explained Var: 0.03
Episode 312/10000, Avg Reward: 96.45, Explained Var: 0.06
Episode 313/10000, Avg Reward: 565.71, Explained Var: 0.02
Episode 314/10000, Avg Reward: 131.44, Explained Var: 0.04
Episode 315/10000, Avg Reward: 830.77, Explained Var: 0.01
Episode 316/10000, Avg Reward: 662.76, Explained Var: 0.01
Episode 317/10000, Avg Reward: 295.81, Explained Var: 0.02
Episode 318/10000, Avg Reward: 532.38, Explained Var: 0.01
Episode 319/10000, Avg Reward: 497.83, Explained Var: 0.02
Episode 320/10000, Avg Reward: 92.51, Explained Var: 0.07
Episode 321/10000, Avg Reward: 95.55, Explained Var: 0.06
Episode 322/10000, Avg Reward: 507.11, Explained Var: 0.02
Episode 323/10000, Avg Reward: 506.44, Explained Var: 0.01
Episode 324/10000, Avg Reward: 737.67, Explained Var: 0.01
Episode 325/10000, Avg Reward: 429.35, Explained Var: 0.02
Episode 326/10000, Avg Reward: 409.79, Explained Var: 0.02
Episode 327/10000, Avg Reward: 265.91, Explained Var: 0.03
