Episode 144/10000, Avg Reward: 193.72, Explained Var: 0.01
Episode 145/10000, Avg Reward: 416.23, Explained Var: 0.00
Episode 146/10000, Avg Reward: 339.98, Explained Var: 0.00
Episode 147/10000, Avg Reward: 898.59, Explained Var: 0.00
Episode 148/10000, Avg Reward: 586.56, Explained Var: 0.00
Episode 149/10000, Avg Reward: 713.46, Explained Var: 0.00
Episode 150/10000, Avg Reward: 427.15, Explained Var: 0.01
Episode 151/10000, Avg Reward: 115.71, Explained Var: 0.00
Episode 152/10000, Avg Reward: 1038.90, Explained Var: 0.00
Episode 153/10000, Avg Reward: 529.01, Explained Var: 0.00
Episode 154/10000, Avg Reward: 410.72, Explained Var: 0.00
Episode 155/10000, Avg Reward: 107.25, Explained Var: 0.01
Episode 156/10000, Avg Reward: 762.62, Explained Var: 0.00
Episode 157/10000, Avg Reward: 513.76, Explained Var: 0.00
Episode 158/10000, Avg Reward: 175.79, Explained Var: 0.01
Episode 159/10000, Avg Reward: 293.50, Explained Var: 0.00
Episode 160/10000, Avg Reward: 447.92, Explained Var: 0.00
Episode 161/10000, Avg Reward: 718.30, Explained Var: 0.00
Episode 162/10000, Avg Reward: 737.82, Explained Var: 0.00
Episode 163/10000, Avg Reward: 417.70, Explained Var: 0.00
Episode 164/10000, Avg Reward: 169.13, Explained Var: 0.01
Episode 165/10000, Avg Reward: 412.27, Explained Var: 0.00
Episode 166/10000, Avg Reward: 641.86, Explained Var: 0.00
Episode 167/10000, Avg Reward: 103.44, Explained Var: 0.01
Episode 168/10000, Avg Reward: 100.54, Explained Var: 0.01
Episode 169/10000, Avg Reward: 302.18, Explained Var: 0.01
Episode 170/10000, Avg Reward: 632.74, Explained Var: 0.00
Episode 171/10000, Avg Reward: 902.88, Explained Var: 0.00
Episode 172/10000, Avg Reward: 423.56, Explained Var: 0.00
Episode 173/10000, Avg Reward: 841.80, Explained Var: 0.00
Episode 174/10000, Avg Reward: 695.18, Explained Var: 0.00
Episode 175/10000, Avg Reward: 925.13, Explained Var: 0.00
Episode 176/10000, Avg Reward: 639.82, Explained Var: 0.00
Episode 177/10000, Avg Reward: 445.91, Explained Var: 0.01
Episode 178/10000, Avg Reward: 860.82, Explained Var: 0.00
Episode 179/10000, Avg Reward: 504.81, Explained Var: 0.00
Episode 180/10000, Avg Reward: 630.03, Explained Var: 0.00
Episode 181/10000, Avg Reward: 268.07, Explained Var: 0.01
Episode 182/10000, Avg Reward: 343.65, Explained Var: 0.00
Episode 183/10000, Avg Reward: 397.51, Explained Var: 0.01
Episode 184/10000, Avg Reward: 841.34, Explained Var: 0.00
Episode 185/10000, Avg Reward: 298.13, Explained Var: 0.01
Episode 186/10000, Avg Reward: 440.43, Explained Var: 0.01
Episode 187/10000, Avg Reward: 534.42, Explained Var: 0.01
Episode 188/10000, Avg Reward: 263.73, Explained Var: 0.01
Episode 189/10000, Avg Reward: 702.32, Explained Var: 0.00
Episode 190/10000, Avg Reward: 462.90, Explained Var: 0.01
Episode 191/10000, Avg Reward: 289.65, Explained Var: 0.02
Episode 192/10000, Avg Reward: 636.21, Explained Var: 0.00
Episode 193/10000, Avg Reward: 789.32, Explained Var: 0.00
Episode 194/10000, Avg Reward: 496.54, Explained Var: 0.01
Episode 195/10000, Avg Reward: 530.50, Explained Var: 0.01
Episode 196/10000, Avg Reward: 1080.18, Explained Var: 0.00
Episode 197/10000, Avg Reward: 409.16, Explained Var: 0.01
Episode 198/10000, Avg Reward: 101.05, Explained Var: 0.04
Episode 199/10000, Avg Reward: 557.15, Explained Var: 0.01
Episode 200/10000, Avg Reward: 490.60, Explained Var: 0.01
Episode 201/10000, Avg Reward: 211.80, Explained Var: 0.01
Episode 202/10000, Avg Reward: 619.55, Explained Var: 0.00
Episode 203/10000, Avg Reward: 729.48, Explained Var: 0.00
Episode 204/10000, Avg Reward: 267.22, Explained Var: 0.01
Episode 205/10000, Avg Reward: 895.29, Explained Var: 0.00
Episode 206/10000, Avg Reward: 513.65, Explained Var: 0.00
Episode 207/10000, Avg Reward: 429.08, Explained Var: 0.01
Episode 208/10000, Avg Reward: 894.11, Explained Var: 0.01
Episode 209/10000, Avg Reward: 100.23, Explained Var: 0.02
Episode 210/10000, Avg Reward: 956.18, Explained Var: 0.00
Episode 211/10000, Avg Reward: 267.99, Explained Var: 0.01
Episode 212/10000, Avg Reward: 503.07, Explained Var: 0.01
Episode 213/10000, Avg Reward: 174.30, Explained Var: 0.02
Episode 214/10000, Avg Reward: 418.15, Explained Var: 0.01
Episode 215/10000, Avg Reward: 505.02, Explained Var: 0.01
Episode 216/10000, Avg Reward: 321.49, Explained Var: 0.01
Episode 217/10000, Avg Reward: 104.11, Explained Var: 0.04
Episode 218/10000, Avg Reward: 138.11, Explained Var: 0.02
Episode 219/10000, Avg Reward: 360.42, Explained Var: 0.00
Episode 220/10000, Avg Reward: 461.70, Explained Var: 0.00
Episode 221/10000, Avg Reward: 145.25, Explained Var: 0.01
Episode 222/10000, Avg Reward: 138.81, Explained Var: 0.02
Episode 223/10000, Avg Reward: 458.26, Explained Var: 0.01
Episode 224/10000, Avg Reward: 444.94, Explained Var: 0.00
Episode 225/10000, Avg Reward: 105.64, Explained Var: 0.03
Episode 226/10000, Avg Reward: 570.84, Explained Var: 0.01
Episode 227/10000, Avg Reward: 1126.54, Explained Var: 0.00
Episode 228/10000, Avg Reward: 117.26, Explained Var: 0.02
Episode 229/10000, Avg Reward: 498.49, Explained Var: 0.01
Episode 230/10000, Avg Reward: 272.64, Explained Var: 0.02
Episode 231/10000, Avg Reward: 173.73, Explained Var: 0.02
Episode 232/10000, Avg Reward: 132.97, Explained Var: 0.02
Episode 233/10000, Avg Reward: 715.37, Explained Var: 0.01
Episode 234/10000, Avg Reward: 638.64, Explained Var: 0.01
Episode 235/10000, Avg Reward: 725.61, Explained Var: 0.01
Episode 236/10000, Avg Reward: 1103.31, Explained Var: 0.00
Episode 237/10000, Avg Reward: 490.46, Explained Var: 0.01
Episode 238/10000, Avg Reward: 100.52, Explained Var: 0.02
Episode 239/10000, Avg Reward: 270.43, Explained Var: 0.02
Episode 240/10000, Avg Reward: 464.77, Explained Var: 0.01
Episode 241/10000, Avg Reward: 495.51, Explained Var: 0.01
Episode 242/10000, Avg Reward: 506.92, Explained Var: 0.01
Episode 243/10000, Avg Reward: 1085.19, Explained Var: 0.01
Episode 244/10000, Avg Reward: 297.15, Explained Var: 0.01
Episode 245/10000, Avg Reward: 209.22, Explained Var: 0.01
